id,geometry,value
170310103003,"POLYGON ((-87.667823 42.014969,-87.662357066928706 42.015055,-87.661325472618088 42.012861457982801,-87.663453 42.01283,-87.665924 42.012787,-87.666294 42.01278,-87.666846 42.01376,-87.667823 42.014969))",-1
170315204002,"POLYGON ((-87.531658 41.702716,-87.526528 41.70269,-87.524936601573202 41.702681856703101,-87.524944 41.702635,-87.524911307933806 41.699038872717701,-87.529245 41.699066,-87.529243 41.700889,-87.531657 41.700903,-87.531658 41.702716))",-1
170310301032,"POLYGON ((-87.657677 41.995441,-87.657009 41.996408,-87.655308210857186 41.996426934510097,-87.654910614792598 41.994169626070601,-87.655512 41.994164,-87.65765 41.994586,-87.657677 41.995441))",-1
170310307061,"POLYGON ((-87.655764 41.978211,-87.655033 41.978564,-87.655084 41.979959,-87.654547 41.980646,-87.655132 41.981612,-87.655192 41.983802,-87.6521416305564 41.984233823181498,-87.652012864926704 41.983904461547695,-87.650331443170288 41.979603656913397,-87.650180222115594 41.979216857937701,-87.649907 41.978518,-87.649019553341802 41.9770423232128,-87.651241 41.976462,-87.651545 41.976454,-87.652152 41.97644,-87.654284 41.976407,-87.654993 41.976396,-87.655713 41.976385,-87.655764 41.978211))",740.0
170310315023,"POLYGON ((-87.654787 41.96543,-87.653742 41.965444,-87.650019 41.965488,-87.649988 41.964513,-87.654777 41.964446,-87.654787 41.96543))",-1
170313016001,"POLYGON ((-87.714787 41.844385,-87.70991 41.84445,-87.7099 41.843997,-87.709811 41.840798,-87.714693 41.840722,-87.714741 41.842551,-87.714787 41.844385))",-1
170316720003,"POLYGON ((-87.674745 41.764799,-87.671103 41.764834,-87.671053 41.763013,-87.67096 41.759362,-87.674605 41.759276,-87.674698 41.762977,-87.674745 41.764799))",421.0
170315805023,"POLYGON ((-87.704331 41.8172,-87.699397 41.817064,-87.698508 41.817607,-87.694482 41.81736,-87.694371 41.813736,-87.695599 41.81371,-87.699278 41.813654,-87.699342 41.81547,-87.704262 41.815421,-87.704331 41.8172))",-1
170312424001,"POLYGON ((-87.687027 41.903016,-87.68458 41.903061,-87.68214 41.903107,-87.682119 41.902172,-87.682093 41.901283,-87.682046 41.899466,-87.686936 41.899379,-87.68696 41.900293,-87.687006 41.902087,-87.687027 41.903016))",-1
170312601001,"POLYGON ((-87.725873 41.887957,-87.720982 41.888018,-87.72082 41.881897,-87.720829 41.880788,-87.72567 41.880727,-87.725873 41.887957))",290.0
